,Image,Description,Reference,Match,Book,Cleaned_Description,Lemmatized_Description,Stemmed_Description,split
0,dataset/images/9.pdf/page_24_image_1.jpeg,Appropriate directional terminology to describe threedimensional cardiac anatomy1,[],Figure 1,9.pdf,appropriate directional terminology describe threedimensional cardiac anatomy1,appropriate directional terminology describe threedimensional cardiac anatomy1,appropri direct terminolog describ threedimension cardiac anatomy1,train
1,dataset/images/9.pdf/page_26_image_1.jpeg,Enbloc resection of the thoracic organs viewed from the anterior direction1,[],Figure 2,9.pdf,enbloc resection thoracic organs viewed anterior direction1,enbloc resection thoracic organ viewed anterior direction1,enbloc resect thorac organ view anterior direction1,train
2,dataset/images/9.pdf/page_27_image_1.jpeg,Anterior view of the heart with epicardial adipose tissue,[],Figure 3,9.pdf,anterior view heart epicardial adipose tissue,anterior view heart epicardial adipose tissue,anterior view heart epicardi adipos tissu,train
3,dataset/images/9.pdf/page_28_image_1.jpeg,The heart viewed from the anterior direction1,[],Figure 4,9.pdf,heart viewed anterior direction1,heart viewed anterior direction1,heart view anterior direction1,valid
4,dataset/images/9.pdf/page_30_image_1.jpeg,Frontal section of the heart at the level of the aortic root viewed from the anterior direction1,['the bundle of His  Refer to  The location is close to the'],Figure 5,9.pdf,frontal section heart level aortic root viewed anterior direction1,frontal section heart level aortic root viewed anterior direction1,frontal section heart level aortic root view anterior direction1,train
5,dataset/images/9.pdf/page_32_image_1.jpeg,Frontal section of the heart at the level of the inferior pyramidal space viewed from the anterior direction1,[],Figure 6,9.pdf,frontal section heart level inferior pyramidal space viewed anterior direction1,frontal section heart level inferior pyramidal space viewed anterior direction1,frontal section heart level inferior pyramid space view anterior direction1,train
6,dataset/images/9.pdf/page_36_image_1.jpeg,The heart viewed from the right anterior oblique direction1,[],Figure 7,9.pdf,heart viewed right anterior oblique direction1,heart viewed right anterior oblique direction1,heart view right anterior obliqu direction1,train
7,dataset/images/9.pdf/page_40_image_1.jpeg,Progressive dissection images of the heart viewed from the right anterior oblique direction Removal of the right heart free wall,['of the dis sected hearts16 Refer to'],Figure 9,9.pdf,progressive dissection images heart viewed right anterior oblique direction removal right heart free wall,progressive dissection image heart viewed right anterior oblique direction removal right heart free wall,progress dissect imag heart view right anterior obliqu direct remov right heart free wall,train
8,dataset/images/9.pdf/page_42_image_1.jpeg,Progressive dissection images of the heart viewed from the right anterior oblique direction Focus on the medial structures of the right heart,['defect or patent foramen ovale1112 Refer to'],Figure 10,9.pdf,progressive dissection images heart viewed right anterior oblique direction focus medial structures right heart,progressive dissection image heart viewed right anterior oblique direction focus medial structure right heart,progress dissect imag heart view right anterior obliqu direct focu medial structur right heart,train
9,dataset/images/9.pdf/page_44_image_1.jpeg,Progressive dissection images of the heart viewed from the right anterior oblique direction Removal of the ventricular septum,['posteroinferior within the infundibulum  refer to   Thus  left posterior direction'],Figure 11,9.pdf,progressive dissection images heart viewed right anterior oblique direction removal ventricular septum,progressive dissection image heart viewed right anterior oblique direction removal ventricular septum,progress dissect imag heart view right anterior obliqu direct remov ventricular septum,train
10,dataset/images/9.pdf/page_46_image_1.jpeg,The left ventricle viewed from the right anterior oblique direction1,['the right fibrous trigone  Refer to'],Figure 12,9.pdf,left ventricle viewed right anterior oblique direction1,left ventricle viewed right anterior oblique direction1,left ventricl view right anterior obliqu direction1,train
11,dataset/images/9.pdf/page_48_image_1.jpeg,Right anterior oblique view of the heart with epicardial adipose tissue,[],Figure 13,9.pdf,right anterior oblique view heart epicardial adipose tissue,right anterior oblique view heart epicardial adipose tissue,right anterior obliqu view heart epicardi adipos tissu,train
12,dataset/images/9.pdf/page_52_image_1.jpeg,The heart viewed from the left anterior oblique direction1,[],Figure 14,9.pdf,heart viewed left anterior oblique direction1,heart viewed left anterior oblique direction1,heart view left anterior obliqu direction1,train
13,dataset/images/9.pdf/page_54_image_1.jpeg,Plane section of the heart at the level of the medial papillary muscle viewed from the left anterior oblique direction1,[],Figure 15,9.pdf,plane section heart level medial papillary muscle viewed left anterior oblique direction1,plane section heart level medial papillary muscle viewed left anterior oblique direction1,plane section heart level medial papillari muscl view left anterior obliqu direction1,train
14,dataset/images/9.pdf/page_56_image_1.jpeg,Progressive dissection images of the heart viewed from the left anterior oblique direction Mid ventricular level,[],Figure 16,9.pdf,progressive dissection images heart viewed left anterior oblique direction mid ventricular level,progressive dissection image heart viewed left anterior oblique direction mid ventricular level,progress dissect imag heart view left anterior obliqu direct mid ventricular level,train
15,dataset/images/9.pdf/page_58_image_1.jpeg,Progressive dissection images of the heart viewed from the left anterior oblique direction Basal ventricular level,[],Figure 17,9.pdf,progressive dissection images heart viewed left anterior oblique direction basal ventricular level,progressive dissection image heart viewed left anterior oblique direction basal ventricular level,progress dissect imag heart view left anterior obliqu direct basal ventricular level,train
16,dataset/images/9.pdf/page_60_image_1.jpeg,Progressive dissection images of the heart viewed from the left anterior oblique direction Right atrioventricular junction level,[],Figure 18,9.pdf,progressive dissection images heart viewed left anterior oblique direction right atrioventricular junction level,progressive dissection image heart viewed left anterior oblique direction right atrioventricular junction level,progress dissect imag heart view left anterior obliqu direct right atrioventricular junction level,train
17,dataset/images/9.pdf/page_62_image_1.jpeg,Progressive dissection images of the heart viewed from the left anterior oblique direction Coronary sinus orifice level,[],Figure 19,9.pdf,progressive dissection images heart viewed left anterior oblique direction coronary sinus orifice level,progressive dissection image heart viewed left anterior oblique direction coronary sinus orifice level,progress dissect imag heart view left anterior obliqu direct coronari sinu orific level,train
18,dataset/images/9.pdf/page_64_image_1.jpeg,Progressive dissection images of the heart viewed from the left anterior oblique direction Opening the coronary sinus and great cardiac vein,[],Figure 20,9.pdf,progressive dissection images heart viewed left anterior oblique direction opening coronary sinus great cardiac vein,progressive dissection image heart viewed left anterior oblique direction opening coronary sinus great cardiac vein,progress dissect imag heart view left anterior obliqu direct open coronari sinu great cardiac vein,train
19,dataset/images/9.pdf/page_66_image_1.jpeg,Left anterior oblique view of the heart with epicardial adipose tissue,[],Figure 21,9.pdf,left anterior oblique view heart epicardial adipose tissue,left anterior oblique view heart epicardial adipose tissue,left anterior obliqu view heart epicardi adipos tissu,train
20,dataset/images/9.pdf/page_70_image_1.jpeg,The heart and standard electrocardiographic electrodes viewed from the anterior direction1,[],Figure 22,9.pdf,heart standard electrocardiographic electrodes viewed anterior direction1,heart standard electrocardiographic electrode viewed anterior direction1,heart standard electrocardiograph electrod view anterior direction1,train
21,dataset/images/9.pdf/page_72_image_1.jpeg,The whole heart and precordial electrodes viewed from the superior direction1,[],Figure 23,9.pdf,whole heart precordial electrodes viewed superior direction1,whole heart precordial electrode viewed superior direction1,whole heart precordi electrod view superior direction1,train
22,dataset/images/9.pdf/page_73_image_1.jpeg,The heart and precordial electrodes The horizontal plane at the level between the V1V2 and V3 electrodes1,[],Figure 24,9.pdf,heart precordial electrodes horizontal plane level v1v2 v3 electrodes1,heart precordial electrode horizontal plane level v1v2 v3 electrodes1,heart precordi electrod horizont plane level v1v2 v3 electrodes1,train
23,dataset/images/9.pdf/page_74_image_1.jpeg,The heart and precordial electrodes The horizontal plane at the level of the V4V6 electrodes1,[],Figure 25,9.pdf,heart precordial electrodes horizontal plane level v4v6 electrodes1,heart precordial electrode horizontal plane level v4v6 electrodes1,heart precordi electrod horizont plane level v4v6 electrodes1,train
24,dataset/images/9.pdf/page_78_image_1.jpeg,The internal aspect of the sinus venarum viewed from the right anterior oblique direction1,[],Figure 26,9.pdf,internal aspect sinus venarum viewed right anterior oblique direction1,internal aspect sinus venarum viewed right anterior oblique direction1,intern aspect sinu venarum view right anterior obliqu direction1,train
25,dataset/images/9.pdf/page_80_image_1.jpeg,The external aspect of the sinus venarum visualized with transillumination,[],Figure 27,9.pdf,external aspect sinus venarum visualized transillumination,external aspect sinus venarum visualized transillumination,extern aspect sinu venarum visual transillumin,train
26,dataset/images/9.pdf/page_82_image_1.jpeg,The internal aspect of the sinus venarum viewed from the left anterior oblique direction,[],Figure 28,9.pdf,internal aspect sinus venarum viewed left anterior oblique direction,internal aspect sinus venarum viewed left anterior oblique direction,intern aspect sinu venarum view left anterior obliqu direct,train
27,dataset/images/9.pdf/page_83_image_1.jpeg,The ablation catheter placed on the middle part of the crista terminalis viewed from the left anterior oblique direction,[],Figure 29,9.pdf,ablation catheter placed middle part crista terminalis viewed left anterior oblique direction,ablation catheter placed middle part crista terminalis viewed left anterior oblique direction,ablat cathet place middl part crista terminali view left anterior obliqu direct,train
28,dataset/images/9.pdf/page_86_image_1.jpeg,The internal aspect of the fossa ovalis viewed from the anterior direction1,['The paired section of this image is'],Figure 30,9.pdf,internal aspect fossa ovalis viewed anterior direction1,internal aspect fossa ovalis viewed anterior direction1,intern aspect fossa ovali view anterior direction1,train
29,dataset/images/9.pdf/page_88_image_1.jpeg,The medial aspect of the right atrium viewed from the right anterior oblique direction,[],Figure 31,9.pdf,medial aspect right atrium viewed right anterior oblique direction,medial aspect right atrium viewed right anterior oblique direction,medial aspect right atrium view right anterior obliqu direct,train
30,dataset/images/9.pdf/page_90_image_1.jpeg,The fossa ovalis viewed from the left anterior oblique direction,[],Figure 32,9.pdf,fossa ovalis viewed left anterior oblique direction,fossa ovalis viewed left anterior oblique direction,fossa ovali view left anterior obliqu direct,train
31,dataset/images/9.pdf/page_92_image_1.jpeg,The ablation catheter placed on the primary septum close to the superior rim of the fossa ovalis,[],Figure 33,9.pdf,ablation catheter placed primary septum close superior rim fossa ovalis,ablation catheter placed primary septum close superior rim fossa ovalis,ablat cathet place primari septum close superior rim fossa ovali,train
32,dataset/images/9.pdf/page_93_image_1.jpeg,Transseptal approach viewed from the left anterior oblique direction,[],Figure 34,9.pdf,transseptal approach viewed left anterior oblique direction,transseptal approach viewed left anterior oblique direction,transsept approach view left anterior obliqu direct,valid
33,dataset/images/9.pdf/page_96_image_1.jpeg,The coronary sinus viewed from the atrial side1,['The paired section of this image is'],Figure 35,9.pdf,coronary sinus viewed atrial side1,coronary sinus viewed atrial side1,coronari sinu view atrial side1,train
34,dataset/images/9.pdf/page_98_image_1.jpeg,The ablation catheter trapped by the Thebesian valve,['sinus and vice versa  Refer to'],Figure 36,9.pdf,ablation catheter trapped thebesian valve,ablation catheter trapped thebesian valve,ablat cathet trap thebesian valv,train
35,dataset/images/9.pdf/page_100_image_1.jpeg,The ablation catheter avoiding the Thebesian valve,"['into the coronary sinus  Refer to', 'in the lateral portion  Refer to']",Figure 37,9.pdf,ablation catheter avoiding thebesian valve,ablation catheter avoiding thebesian valve,ablat cathet avoid thebesian valv,train
36,dataset/images/9.pdf/page_102_image_1.jpeg,The ablation catheter located at the septal isthmus viewed from the right anterior oblique direction Right atrial image,['atrium and the left ventricle8 Refer to'],Figure 38,9.pdf,ablation catheter located septal isthmus viewed right anterior oblique direction right atrial image,ablation catheter located septal isthmus viewed right anterior oblique direction right atrial image,ablat cathet locat septal isthmu view right anterior obliqu direct right atrial imag,train
37,dataset/images/9.pdf/page_104_image_1.jpeg,The ablation catheter located at the septal isthmus viewed from the right anterior oblique direction Open heart image,['yellow arrow   Refer to'],Figure 39,9.pdf,ablation catheter located septal isthmus viewed right anterior oblique direction open heart image,ablation catheter located septal isthmus viewed right anterior oblique direction open heart image,ablat cathet locat septal isthmu view right anterior obliqu direct open heart imag,train
38,dataset/images/9.pdf/page_106_image_1.jpeg,The sequential images of the ablation catheter tracing the cavotricuspid isthmus viewed from the right anterior oblique direction Right atrial image,['the central fibrous body  Refer to'],Figure 40,9.pdf,sequential images ablation catheter tracing cavotricuspid isthmus viewed right anterior oblique direction right atrial image,sequential image ablation catheter tracing cavotricuspid isthmus viewed right anterior oblique direction right atrial image,sequenti imag ablat cathet trace cavotricuspid isthmu view right anterior obliqu direct right atrial imag,valid
39,dataset/images/9.pdf/page_110_image_1.jpeg,The right atrial appendage viewed from the ventricular side1,['The paired section of this image is'],Figure 41,9.pdf,right atrial appendage viewed ventricular side1,right atrial appendage viewed ventricular side1,right atrial appendag view ventricular side1,train
40,dataset/images/9.pdf/page_112_image_1.jpeg,The free wall of the right atrial appendage viewed from the medial direction1,[],Figure 42,9.pdf,free wall right atrial appendage viewed medial direction1,free wall right atrial appendage viewed medial direction1,free wall right atrial appendag view medial direction1,train
41,dataset/images/9.pdf/page_114_image_1.jpeg,The isolated right atrium1,[],Figure 43,9.pdf,isolated right atrium1,isolated right atrium1,isol right atrium1,train
42,dataset/images/9.pdf/page_115_image_1.jpeg,The ablation catheter placed at the medial wall of the right atrial appendage viewed from the right anterior oblique direction,[],Figure 44,9.pdf,ablation catheter placed medial wall right atrial appendage viewed right anterior oblique direction,ablation catheter placed medial wall right atrial appendage viewed right anterior oblique direction,ablat cathet place medial wall right atrial appendag view right anterior obliqu direct,train
43,dataset/images/9.pdf/page_116_image_1.jpeg,The transilluminated right atrium in isolation1 and in situ,[],Figure 45,9.pdf,transilluminated right atrium isolation1 situ,transilluminated right atrium isolation1 situ,transillumin right atrium isolation1 situ,train
44,dataset/images/9.pdf/page_120_image_1.jpeg,The tricuspid annulus viewed from the right lateral direction1,"['to as the inferoseptal process10 Refer to  Thus  the inferior pyramidal space', 'and inferior pyramidal space  Refer to  The epicardial adipose tissue filling the', 'to the inferoseptal process  Refer to']",Figure 46,9.pdf,tricuspid annulus viewed right lateral direction1,tricuspid annulus viewed right lateral direction1,tricuspid annulu view right later direction1,train
45,dataset/images/9.pdf/page_122_image_1.jpeg,The tricuspid valve viewed from the atrial and ventricular direction1,[],Figure 47,9.pdf,tricuspid valve viewed atrial ventricular direction1,tricuspid valve viewed atrial ventricular direction1,tricuspid valv view atrial ventricular direction1,train
46,dataset/images/9.pdf/page_124_image_1.jpeg,The atrioventricular valves viewed from the ventricular side,[],Figure 48,9.pdf,atrioventricular valves viewed ventricular side,atrioventricular valve viewed ventricular side,atrioventricular valv view ventricular side,train
47,dataset/images/9.pdf/page_125_image_1.jpeg,The tricuspid valve viewed from the anterior direction,[],Figure 49,9.pdf,tricuspid valve viewed anterior direction,tricuspid valve viewed anterior direction,tricuspid valv view anterior direct,train
48,dataset/images/9.pdf/page_126_image_1.jpeg,The catheter placed at the inferior margin of the membranous septum,[],Figure 50,9.pdf,catheter placed inferior margin membranous septum,catheter placed inferior margin membranous septum,cathet place inferior margin membran septum,train
49,dataset/images/9.pdf/page_128_image_1.jpeg,The ablation catheter placed at the superior tricuspid annulus with the Uturn approach,['or ven tricular arrhythmias  Refer to'],Figure 51,9.pdf,ablation catheter placed superior tricuspid annulus uturn approach,ablation catheter placed superior tricuspid annulus uturn approach,ablat cathet place superior tricuspid annulu uturn approach,train
50,dataset/images/9.pdf/page_130_image_1.jpeg,The horizontal section showing the fourchamber image viewed from the superior direction1,['The paired section of this image is'],Figure 52,9.pdf,horizontal section showing fourchamber image viewed superior direction1,horizontal section showing fourchamber image viewed superior direction1,horizont section show fourchamb imag view superior direction1,train
51,dataset/images/9.pdf/page_132_image_1.jpeg,The horizontal section showing the fourchamber image viewed from the inferior direction1,['The paired section of this image is'],Figure 53,9.pdf,horizontal section showing fourchamber image viewed inferior direction1,horizontal section showing fourchamber image viewed inferior direction1,horizont section show fourchamb imag view inferior direction1,train
52,dataset/images/9.pdf/page_134_image_1.jpeg,The ablation catheter placed around the tricuspid annulus,[],Figure 54,9.pdf,ablation catheter placed around tricuspid annulus,ablation catheter placed around tricuspid annulus,ablat cathet place around tricuspid annulu,train
53,dataset/images/9.pdf/page_138_image_1.jpeg,The atrioventricular junction viewed from the atrial side1,[],Figure 55,9.pdf,atrioventricular junction viewed atrial side1,atrioventricular junction viewed atrial side1,atrioventricular junction view atrial side1,train
54,dataset/images/9.pdf/page_140_image_1.jpeg,Progressive dissection of the right heart viewed from the anterior direction1,[],Figure 56,9.pdf,progressive dissection right heart viewed anterior direction1,progressive dissection right heart viewed anterior direction1,progress dissect right heart view anterior direction1,train
55,dataset/images/9.pdf/page_142_image_1.jpeg,Left ventricular aspect of the membranous septum1,[],Figure 57,9.pdf,left ventricular aspect membranous septum1,left ventricular aspect membranous septum1,left ventricular aspect membran septum1,valid
56,dataset/images/9.pdf/page_144_image_1.jpeg,The horizontal section at the level of the membranous septum viewed from the superior direction1,['The paired section of this image is'],Figure 58,9.pdf,horizontal section level membranous septum viewed superior direction1,horizontal section level membranous septum viewed superior direction1,horizont section level membran septum view superior direction1,train
57,dataset/images/9.pdf/page_146_image_1.jpeg,The horizontal section at the level of the membranous septum viewed from the inferior direction1,['The paired section of this image is'],Figure 59,9.pdf,horizontal section level membranous septum viewed inferior direction1,horizontal section level membranous septum viewed inferior direction1,horizont section level membran septum view inferior direction1,train
58,dataset/images/9.pdf/page_148_image_1.jpeg,The catheter placed at the inferior margin of the membranous septum,[],Figure 60,9.pdf,catheter placed inferior margin membranous septum,catheter placed inferior margin membranous septum,cathet place inferior margin membran septum,train
59,dataset/images/9.pdf/page_150_image_1.jpeg,The ablation catheter placed at the superior paraseptal region12,[],Figure 61,9.pdf,ablation catheter placed superior paraseptal region12,ablation catheter placed superior paraseptal region12,ablat cathet place superior parasept region12,train
60,dataset/images/9.pdf/page_152_image_1.jpeg,The ablation catheter placed at the septal region12,[],Figure 62,9.pdf,ablation catheter placed septal region12,ablation catheter placed septal region12,ablat cathet place septal region12,train
61,dataset/images/9.pdf/page_154_image_1.jpeg,The ablation catheter placed at the bundle of His12,[],Figure 63,9.pdf,ablation catheter placed bundle his12,ablation catheter placed bundle his12,ablat cathet place bundl his12,train
62,dataset/images/9.pdf/page_156_image_1.jpeg,The ablation catheter placed at the midparaseptal region12,[],Figure 64,9.pdf,ablation catheter placed midparaseptal region12,ablation catheter placed midparaseptal region12,ablat cathet place midparasept region12,train
63,dataset/images/9.pdf/page_158_image_1.jpeg,The ablation catheter placed at the inferiorparaseptal region12,[],Figure 65,9.pdf,ablation catheter placed inferiorparaseptal region12,ablation catheter placed inferiorparaseptal region12,ablat cathet place inferiorparasept region12,valid
64,dataset/images/9.pdf/page_162_image_1.jpeg,The macroscopic image of the atrioventricular node and conduction axis with progressive dissection,"['various proportions of each portion16 Refer to', 'of the ventricular septum  Refer to', 'the bundle of His  Refer to']",Figure 67,9.pdf,macroscopic image atrioventricular node conduction axis progressive dissection,macroscopic image atrioventricular node conduction axis progressive dissection,macroscop imag atrioventricular node conduct axi progress dissect,train
65,dataset/images/9.pdf/page_166_image_1.jpeg,The inner aspect of the right ventricular inlet and apex1,[],Figure 68,9.pdf,inner aspect right ventricular inlet apex1,inner aspect right ventricular inlet apex1,inner aspect right ventricular inlet apex1,train
66,dataset/images/9.pdf/page_168_image_1.jpeg,The right ventricular apical trabeculations1,[],Figure 69,9.pdf,right ventricular apical trabeculations1,right ventricular apical trabeculations1,right ventricular apic trabeculations1,train
67,dataset/images/9.pdf/page_170_image_1.jpeg,Open image of the right ventricle1,[],Figure 70,9.pdf,open image right ventricle1,open image right ventricle1,open imag right ventricle1,train
68,dataset/images/9.pdf/page_174_image_1.jpeg,The ablation catheter placed at each papillary muscle of the right ventricle,[],Figure 72,9.pdf,ablation catheter placed papillary muscle right ventricle,ablation catheter placed papillary muscle right ventricle,ablat cathet place papillari muscl right ventricl,train
69,dataset/images/9.pdf/page_178_image_1.jpeg,The ablation catheter placed at the right ventricular outflow tract viewed from the right anterior oblique direction,[],Figure 74,9.pdf,ablation catheter placed right ventricular outflow tract viewed right anterior oblique direction,ablation catheter placed right ventricular outflow tract viewed right anterior oblique direction,ablat cathet place right ventricular outflow tract view right anterior obliqu direct,train
